dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,Boruta,21,0.8,1.0,0.888888888888889,0.9375,5,4,18.844318199990084
LLD,RF,21,1.0,0.5,0.6666666666666666,1.0,2,4,1.2350907000072766
LLD,QMI-CFS,22,0.5,1.0,0.6666666666666666,0.75,8,4,0.7790734999871347
LLD,QMI-CFS-Classic,22,0.5,1.0,0.6666666666666666,0.75,8,4,0.3883064999827184
LLD,MI,22,0.8,1.0,0.888888888888889,0.9375,5,4,0.106514299986884
LLD,CMI,22,0.8,1.0,0.888888888888889,0.9375,5,4,0.09151580001343973
LLD,LASSO,22,0.23529411764705882,1.0,0.38095238095238093,0.1875,17,4,0.38562329998239875
LLD,Boruta,22,0.6666666666666666,1.0,0.8,0.875,6,4,16.37263840000378
LLD,RF,22,1.0,0.5,0.6666666666666666,1.0,2,4,1.1948563000187278
LLD,QMI-CFS,23,0.5,1.0,0.6666666666666666,0.75,8,4,0.7731032999872696
LLD,QMI-CFS-Classic,23,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.3959133999887854
LLD,MI,23,0.6,0.75,0.6666666666666665,0.875,5,4,0.10159940001904033
LLD,CMI,23,0.6,0.75,0.6666666666666665,0.875,5,4,0.07385729998350143
LLD,LASSO,23,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.3698696000210475
LLD,Boruta,23,1.0,1.0,1.0,1.0,4,4,26.402798499999335
LLD,RF,23,1.0,0.5,0.6666666666666666,1.0,2,4,1.2233116999850608
LLD,QMI-CFS,24,0.5,1.0,0.6666666666666666,0.75,8,4,0.7642230000055861
LLD,QMI-CFS-Classic,24,0.5,1.0,0.6666666666666666,0.75,8,4,0.3888846000190824
LLD,MI,24,0.6,0.75,0.6666666666666665,0.875,5,4,0.09683909997693263
LLD,CMI,24,0.6,0.75,0.6666666666666665,0.875,5,4,0.07406109999283217
LLD,LASSO,24,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.4063507000100799
LLD,Boruta,24,1.0,1.0,1.0,1.0,4,4,27.13598490000004
LLD,RF,24,1.0,0.5,0.6666666666666666,1.0,2,4,1.259603500016965
LLD,QMI-CFS,25,0.5,1.0,0.6666666666666666,0.75,8,4,0.7863206000183709
LLD,QMI-CFS-Classic,25,0.5,1.0,0.6666666666666666,0.75,8,4,0.37964880000799894
LLD,MI,25,0.4,0.5,0.4444444444444445,0.8125,5,4,0.09877470001811162
LLD,CMI,25,0.4,0.5,0.4444444444444445,0.8125,5,4,0.06679360000998713
LLD,LASSO,25,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.3799662000092212
LLD,Boruta,25,1.0,1.0,1.0,1.0,4,4,15.535610899998574
LLD,RF,25,1.0,0.5,0.6666666666666666,1.0,2,4,1.179253400012385
LLD,QMI-CFS,26,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7797443000017665
LLD,QMI-CFS-Classic,26,0.5,1.0,0.6666666666666666,0.75,8,4,0.40817879998940043
LLD,MI,26,0.6,0.75,0.6666666666666665,0.875,5,4,0.10111909999977797
LLD,CMI,26,0.4,0.5,0.4444444444444445,0.8125,5,4,0.05967749998671934
LLD,LASSO,26,0.2,1.0,0.33333333333333337,0.0,20,4,0.37829570000758395
LLD,Boruta,26,0.6666666666666666,1.0,0.8,0.875,6,4,20.173500200005947
LLD,RF,26,1.0,0.5,0.6666666666666666,1.0,2,4,1.1784030999988317
LLD,QMI-CFS,27,0.5,1.0,0.6666666666666666,0.75,8,4,0.7605353999824729
LLD,QMI-CFS-Classic,27,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.3806499000056647
LLD,MI,27,0.6,0.75,0.6666666666666665,0.875,5,4,0.10157979998621158
LLD,CMI,27,0.4,0.5,0.4444444444444445,0.8125,5,4,0.062315499992109835
LLD,LASSO,27,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.39292670000577345
LLD,Boruta,27,1.0,1.0,1.0,1.0,4,4,25.315642300003674
LLD,RF,27,1.0,0.5,0.6666666666666666,1.0,2,4,1.2148729000182357
LLD,QMI-CFS,28,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.7989287000091281
LLD,QMI-CFS-Classic,28,0.5,1.0,0.6666666666666666,0.75,8,4,0.40969779997249134
LLD,MI,28,0.6,0.75,0.6666666666666665,0.875,5,4,0.10497129999566823
LLD,CMI,28,0.8,1.0,0.888888888888889,0.9375,5,4,0.06819489999907091
LLD,LASSO,28,0.23529411764705882,1.0,0.38095238095238093,0.1875,17,4,0.3781176000193227
LLD,Boruta,28,1.0,1.0,1.0,1.0,4,4,15.361471400014125
LLD,RF,28,1.0,0.5,0.6666666666666666,1.0,2,4,1.1837616999982856
LLD,QMI-CFS,29,0.5,1.0,0.6666666666666666,0.75,8,4,0.7802859999937937
LLD,QMI-CFS-Classic,29,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.38477159998728894
LLD,MI,29,0.8,1.0,0.888888888888889,0.9375,5,4,0.09274419999564998
LLD,CMI,29,0.6,0.75,0.6666666666666665,0.875,5,4,0.06307969999033958
LLD,LASSO,29,0.2,1.0,0.33333333333333337,0.0,20,4,0.39793969999300316
LLD,Boruta,29,1.0,1.0,1.0,1.0,4,4,26.05481550001423
LLD,RF,29,1.0,0.5,0.6666666666666666,1.0,2,4,1.1991569999954663
LLD,QMI-CFS,30,0.5,1.0,0.6666666666666666,0.75,8,4,0.7682150999899022
LLD,QMI-CFS-Classic,30,0.5,1.0,0.6666666666666666,0.75,8,4,0.419627399998717
