dataset,method,seed,ate_error,pehe,relative_ate_error,runtime
LLD,All-Features,18,0.018940824103474085,0.4248691014396953,0.9470412051263523,0.010044599999673665
LLD,QMI-CFS,19,0.11788438833897352,0.23545495682473075,5.894219416653965,1.0814985999895725
LLD,MI,19,0.5440364845387857,0.6375335200942002,27.201824225579195,0.126144200010458
LLD,CMI,19,0.05960183059616053,0.27053054054704584,2.9800915296590222,0.0879146000079345
LLD,LASSO,19,0.04261450467153116,0.29533428622109964,2.130725233470022,0.47355319999041967
LLD,Boruta,19,0.06375655460750007,0.2033946973220789,3.1878277302156124,34.37565880001057
LLD,RF,19,0.8473625614883686,0.8991839542266915,42.368128072300024,1.5075520999962464
LLD,All-Features,19,0.04330213798357585,0.30647764991179355,2.165106899070537,0.010081199987325817
LLD,QMI-CFS,20,0.25423217877012494,0.5226861929236609,12.711608937870666,0.9734372999810148
LLD,MI,20,0.6673435745625622,0.7403625054041736,33.36717872645975,0.13827610001317225
LLD,CMI,20,0.2533262350922145,0.3564615139296999,12.66631175397741,0.10637359999236651
LLD,LASSO,20,0.020089958008842945,0.48194588901562996,1.0044979003919223,0.5054104999871925
LLD,Boruta,20,0.2763370930574891,0.40083654057378315,13.816854652183613,33.366903399990406
LLD,RF,20,0.5267025922443116,0.5540111330638317,26.33512961089882,1.578204999997979
LLD,All-Features,20,0.020089958008842945,0.48194588901562996,1.0044979003919223,0.010816499998327345
LLD,QMI-CFS,21,0.07702236061510748,0.2498837801643468,3.851118030562818,0.9978581999894232
LLD,MI,21,0.5274925521924989,0.5872431035553873,26.374627608306213,0.1327105000091251
LLD,CMI,21,0.05116125881460354,0.29478417560358255,2.558062940602274,0.1014654999889899
LLD,LASSO,21,0.06049030394589883,0.3397729198453991,3.0245151971437156,0.5219858999771532
LLD,Boruta,21,0.0260378911366983,0.22895417107799867,1.3018945567698201,33.50674660000368
LLD,RF,21,0.9471024989433419,0.9488538843123764,47.355124944799336,1.7260334999882616
LLD,All-Features,21,0.06049030394589883,0.3397729198453991,3.0245151971437156,0.009401299990713596
LLD,QMI-CFS,22,0.1620140801170855,0.4607963250068214,8.10070400544924,1.019976300012786
LLD,MI,22,0.10201095504010671,0.14888928721059835,5.100547751750308,0.13072119999560528
LLD,CMI,22,0.05650486512053754,0.2073321279944325,2.825243255885615,0.08399980000103824
LLD,LASSO,22,0.0732263615171056,0.45482251285504743,3.661318075672214,0.49738250000518747
LLD,Boruta,22,0.19501698548835522,0.26219909839652106,9.75084927393022,33.34668449999299
