n_samples,method,replication,f1,ate_error,runtime
100,LASSO,25,0.5263157894736842,0.15957896996379795,0.1282832000288181
100,Boruta,25,0.33333333333333337,0.9020147749486016,11.250028899987228
100,RF,25,0.5714285714285715,0.6097011735134168,1.0034816000261344
100,All-Features,25,0.5,0.17696797797268893,0.004413000016938895
100,QMI-CFS,26,0.20000000000000004,0.8792416059309698,3.120595099986531
100,MI,26,0.4000000000000001,0.4655539874097592,0.052984600013587624
100,CMI,26,0.8000000000000002,0.13968001281721243,0.031074099999386817
100,LASSO,26,0.5555555555555556,0.16211664193168795,0.14206739998189732
100,Boruta,26,0.5714285714285715,0.5438641129827593,28.461301899980754
100,RF,26,0.5714285714285715,0.4647148731534214,1.1553095999988727
100,All-Features,26,0.5,0.17623692813611735,0.003329700033646077
100,QMI-CFS,27,0.5454545454545454,0.46915972848992515,2.4745268000406213
100,MI,27,0.6,0.6155707905165593,0.0378222000435926
100,CMI,27,0.4000000000000001,1.0025226392094608,0.02792660001432523
100,LASSO,27,0.5263157894736842,0.4442466629004256,0.15862970001762733
100,Boruta,27,0.6666666666666665,0.60682406337301,30.62155730003724
100,RF,27,0.5714285714285715,1.1195217794488657,1.1632600000011735
100,All-Features,27,0.5,0.42271164287388086,0.0035593999782577157
100,QMI-CFS,28,0.4000000000000001,0.4950387271692862,2.4577739000087604
100,MI,28,0.4000000000000001,0.4996440201320551,0.038338800019118935
100,CMI,28,0.6,0.5524369840975938,0.027348200033884495
100,LASSO,28,0.5,0.1540176272752023,0.18117130000609905
100,Boruta,28,0.33333333333333337,0.24896491848384272,19.346812900039367
100,RF,28,0.5714285714285715,0.02115452273911078,1.1281473999843001
100,All-Features,28,0.5,0.1540176272752023,0.0035779000027105212
100,QMI-CFS,29,0.3076923076923077,1.335422642868747,2.450289200001862
100,MI,29,0.4000000000000001,0.943808913925634,0.037893000000622123
100,CMI,29,0.8000000000000002,0.5746102724702018,0.028745700023137033
100,LASSO,29,0.5,0.1749643433535506,0.13659489998826757
100,Boruta,29,0.33333333333333337,1.4395217805971585,17.766017800022382
100,RF,29,0.5714285714285715,0.9969700379077566,1.2064599999575876
100,All-Features,29,0.5,0.1749643433535506,0.004610500007402152
100,QMI-CFS,30,0.6,0.7327683489890755,2.4291817999910563
100,MI,30,0.6,0.7742120663697891,0.037298700015526265
100,CMI,30,0.6,0.74769708668408,0.031545499979984015
100,LASSO,30,0.625,0.08588057956592698,0.17008429998531938
100,Boruta,30,0.5714285714285715,0.8948542244561231,31.865315400005784
100,RF,30,0.5714285714285715,0.8948542244561231,1.1215067000011913
100,All-Features,30,0.5,0.11963849999622322,0.0033751000300981104
100,QMI-CFS,31,0.6,0.04882921954155983,2.383826399978716
100,MI,31,0.20000000000000004,0.8252152560012984,0.04299909999826923
100,CMI,31,0.8000000000000002,0.20285251131096893,0.02780519996304065
100,LASSO,31,0.5,0.24345932125257708,0.1644213999970816
100,Boruta,31,0.5714285714285715,0.5862147210306388,11.027570599981118
100,RF,31,0.5714285714285715,0.5862147210306388,1.0961893000057898
100,All-Features,31,0.5,0.24345932125257708,0.0033845999860204756
100,QMI-CFS,32,0.16666666666666666,1.2689843492232686,2.370268800004851
100,MI,32,0.6,0.81000143286923,0.05827179999323562
100,CMI,32,0.6,0.7846298523127841,0.026909999956842512
100,LASSO,32,0.5,0.37818703866211356,0.13412939995760098
100,Boruta,32,0.0,1.499967109312843,30.20816169999307
100,RF,32,0.5714285714285715,1.0032724482421451,1.1628501000232063
100,All-Features,32,0.5,0.37818703866211356,0.004254100029356778
100,QMI-CFS,33,0.3636363636363636,0.7982082553851497,2.5394281999906525
100,MI,33,0.6,0.8013550787761345,0.054931199993006885
100,CMI,33,0.6,0.720953019663666,0.03820619999896735
100,LASSO,33,0.5,0.1861363756925476,0.15393930004211143
100,Boruta,33,0.33333333333333337,1.1274148888348394,16.822798000008333
100,RF,33,0.5714285714285715,0.9326909495739297,1.0591508999932557
100,All-Features,33,0.5,0.1861363756925476,0.003330900042783469
100,QMI-CFS,34,0.5,0.32482060512126587,2.2273034999961965
100,MI,34,0.4000000000000001,0.8158705846106598,0.04000070004258305
100,CMI,34,0.4000000000000001,0.780422538050507,0.026543899963144213
100,LASSO,34,0.5,0.06067423782066861,0.130652200023178
100,Boruta,34,0.33333333333333337,0.9091687107083497,24.364005999988876
100,RF,34,0.5714285714285715,0.7028126776906705,1.0460920000332408
100,All-Features,34,0.5,0.06067423782066861,0.004314000019803643
100,QMI-CFS,35,0.7272727272727272,0.02412842499611023,2.2353796000243165
100,MI,35,0.6,0.34444184517210497,0.038369899964891374
100,CMI,35,0.8000000000000002,0.1490824442721972,0.03284250001888722
100,LASSO,35,0.5882352941176471,0.39030599926872545,0.1358487000106834
100,Boruta,35,0.33333333333333337,1.000192253930214,9.814085399964824
100,RF,35,0.5714285714285715,0.6035077763102783,1.0174722000374459
100,All-Features,35,0.5,0.3168794808202291,0.003714499995112419
100,QMI-CFS,36,0.5,0.4125318738388124,2.24325920001138
100,MI,36,0.4000000000000001,0.9110688216420666,0.03910999995423481
100,CMI,36,0.6,0.6465550895219594,0.02665089996298775
100,LASSO,36,0.5,0.14424722123697675,0.13964820001274347
100,Boruta,36,0.5,0.6423194269852304,30.967544300016016
100,RF,36,0.5714285714285715,0.6484030023706282,1.0178346000029705
100,All-Features,36,0.5,0.14424722123697675,0.003420500026550144
100,QMI-CFS,37,0.4000000000000001,0.7960260842421776,2.259090599953197
100,MI,37,0.8000000000000002,0.28447560276104644,0.039813100011087954
100,CMI,37,0.6,0.7253245855460944,0.026219400053378195
100,LASSO,37,0.5882352941176471,0.25978784021524226,0.12467310001375154
100,Boruta,37,0.5714285714285715,0.7553145057718682,27.722363099979702
100,RF,37,0.5714285714285715,0.5264025626140647,1.0597133999690413
100,All-Features,37,0.5,0.2007289930728675,0.00584639998851344
100,QMI-CFS,38,0.3333333333333333,0.6766624635885403,2.2668350000167266
100,MI,38,0.6,0.044209932250221406,0.03883930004667491
100,CMI,38,0.6,0.4315713968724064,0.02748839999549091
100,LASSO,38,0.5263157894736842,0.05977117817250388,0.1291629000334069
100,Boruta,38,0.4444444444444445,0.19631870125511774,31.115208500006702
100,RF,38,0.28571428571428575,0.5050845915601605,1.0329583999700844
100,All-Features,38,0.5,0.07692295441809649,0.003802900027949363
100,QMI-CFS,39,0.5454545454545454,0.6039878051568439,2.245640200038906
100,MI,39,0.6,0.647525109468361,0.041567299980670214
100,CMI,39,0.8000000000000002,0.5325958632233925,0.033815499977208674
100,LASSO,39,0.5882352941176471,0.20299667065319715,0.13923750002868474
100,Boruta,39,0.7499999999999999,0.6360211571748215,29.012273900036234
100,RF,39,0.5714285714285715,0.9278097909679617,1.0697471000021324
100,All-Features,39,0.5,0.30116583127965546,0.004218299989588559
100,QMI-CFS,40,0.3636363636363636,0.6059563836865873,2.270215099968482
100,MI,40,0.4000000000000001,0.46904611702880405,0.052211100002750754
100,CMI,40,0.4000000000000001,0.6403450167142153,0.040507700003217906
100,LASSO,40,0.5,0.09485657458922425,0.15165880002314225
100,Boruta,40,0.33333333333333337,0.3609346879207429,26.69919190002838
100,RF,40,0.5714285714285715,0.21623248087070168,1.0179507000138983
100,All-Features,40,0.5,0.09485657458922425,0.0040852000238373876
100,QMI-CFS,41,0.5454545454545454,0.7338773145485358,2.278033400012646
100,MI,41,0.4000000000000001,1.213094237423212,0.06293820001883432
100,CMI,41,0.4000000000000001,1.228493434655419,0.030867299996316433
100,LASSO,41,0.625,0.11097745695333483,0.14636280003469437
100,Boruta,41,0.7499999999999999,0.8114065280134843,27.36449680000078
100,RF,41,0.5714285714285715,1.2687584140845094,1.01633860002039
100,All-Features,41,0.5,0.10759200063220176,0.003448900009971112
100,QMI-CFS,42,0.3636363636363636,0.817745020184542,2.2336164000444114
100,MI,42,0.4000000000000001,1.0495361826060274,0.03896129998611286
100,CMI,42,0.4000000000000001,1.0125490902812646,0.03331199998501688
100,LASSO,42,0.5555555555555556,0.4533887477348486,0.13254020002204925
100,Boruta,42,0.7499999999999999,0.5256483843552977,21.534055399999488
100,RF,42,0.5714285714285715,0.8752213404465397,1.0671843999880366
100,All-Features,42,0.5,0.43881150301508276,0.006121199985500425
100,QMI-CFS,43,0.4615384615384615,0.4524579248348095,2.2446080000372604
100,MI,43,0.20000000000000004,0.9245974119258715,0.03877839999040589
100,CMI,43,0.6,0.7188183295844626,0.03261280001606792
100,LASSO,43,0.5,0.2315299297003075,0.15161120000993833
100,Boruta,43,0.5714285714285715,0.6434256516497414,28.30067110003438
100,RF,43,0.5714285714285715,0.8210518521138455,1.0311292000114918
100,All-Features,43,0.5,0.2315299297003075,0.004156799986958504
100,QMI-CFS,44,0.20000000000000004,0.5987368872066474,2.228440099977888
100,MI,44,0.20000000000000004,0.7133774732352434,0.038220399990677834
100,CMI,44,0.6,0.4699928918426379,0.039939000038430095
100,LASSO,44,0.5263157894736842,0.11591508693820818,0.12963139999192208
100,Boruta,44,0.0,0.8551434014363988,28.28437920002034
100,RF,44,0.5714285714285715,0.4752804389100138,1.0165357000078075
100,All-Features,44,0.5,0.13824093479790145,0.004273500002454966
100,QMI-CFS,45,0.5454545454545454,1.215060287520492,2.246637100004591
100,MI,45,0.4000000000000001,1.6385759965963405,0.04622269998071715
100,CMI,45,0.4000000000000001,1.5243134159396066,0.03865499998209998
100,LASSO,45,0.5882352941176471,0.3980235510922596,0.1358782000024803
100,Boruta,45,0.5714285714285715,1.4689067874352872,17.147772800002713
100,RF,45,0.5714285714285715,1.4689067874352872,1.026469700038433
100,All-Features,45,0.5,0.4186421332892154,0.0033381000394001603
100,QMI-CFS,46,0.22222222222222224,1.3211489953383113,2.255765500012785
100,MI,46,0.6,0.6674912478559292,0.04386869998415932
100,CMI,46,0.6,0.6435678640695177,0.03976499999407679
100,LASSO,46,0.5263157894736842,0.38007109513964776,0.13612679997459054
100,Boruta,46,0.7499999999999999,0.39374508402773767,22.571277200011536
100,RF,46,0.5714285714285715,0.6432743534585974,1.0280962999677286
100,All-Features,46,0.5,0.35835657728383286,0.00331129995174706
100,QMI-CFS,47,0.4000000000000001,1.076904513665704,2.2395172000396997
100,MI,47,0.20000000000000004,1.201053295101115,0.03858250001212582
100,CMI,47,0.6,0.8630782014338325,0.03436280001187697
100,LASSO,47,0.5,0.10470175770363266,0.14214110001921654
100,Boruta,47,0.5714285714285715,1.040713608092438,28.53229330002796
100,RF,47,0.5714285714285715,1.040713608092438,1.0760197999770753
